,µ¥Î»£ºmil
AK33,251.2058
AG30,146.0685
AJ33,224.3919
AL27,196.5172
AH25,149.1116
AK27,184.7561
AN27,243.4774
AM33,292.5867
AL25,188.3486
AJ31,208.2512
AG29,140.5947
AJ32,216.1935
AL31,246.9995
AK29,199.3073
AM28,219.645
AN29,249.8726
AJ27,155.5661
AJ30,206.0144
AL29,207.7854
AK25,169.7598
AJ25,161.2006
AN26,227.9433
AM27,214.1238
AM31,265.628
AN30,289.2846
AM30,293.5193
AN32,292.9572
AM32,271.1945
AE28,92.1953
AE27,71.9716
AG32,185.4783
AH33,218.0624
AE30,133.8108
AD32,171.9055
AE31,157.1935
AD33,193.044
AC27,59.4775
AC28,77.3167
AC30,125.3749
AC31,153.5379
AA33,192.1059
AA31,146.745
AA28,79.347
AA27,72.6577
AM25,197.0676
AN25,228.8046
AH23,112.8793
AK23,144.2385
AL23,168.7177
AM22,181.2465
AN21,221.1204
AG21,84.4063
AG19,74.0392
AH19,99.7681
AK19,146.4604
AL19,169.7928
AM21,183.6654
AL21,173.7907
AK21,139.5149
AH21,109.5027
AE33,189.1442
AC32,158.9526
AM24,211.8542
AN20,211.6601
AF33,210.6977
AF32,200.8931
AB33,195.3203
AB32,186.0024
AN23,214.9542
AM23,218.4077
AN19,226.384
AM19,230.1546
AL32,251.5523
AL33,265.2586
AG23,84.1332
AA29,94.7766
